,home,point_diff,yard_diff,turn_diff,rank_diff,spread,Win,WinSpread
60,1,13,143,2,-2,-3.5,1.0,1.0
61,0,-13,-143,-2,2,3.5,0.0,0.0
62,1,-6,-59,0,-6,-7.0,0.0,0.0
63,0,6,59,0,6,7.0,1.0,1.0
64,1,0,-59,1,-14,-7.0,1.0,0.0
65,0,0,59,-1,14,7.0,0.0,1.0
66,1,-45,11,2,9,-3.0,1.0,0.5
67,0,45,-11,-2,-9,3.0,0.0,0.5
68,1,46,614,-1,-5,-9.5,1.0,1.0
69,0,-46,-614,1,5,9.5,0.0,0.0
70,1,72,893,0,-28,-16.5,1.0,1.0
71,0,-72,-893,0,28,16.5,0.0,0.0
72,1,-29,-48,1,2,-5.0,1.0,1.0
73,0,29,48,-1,-2,5.0,0.0,0.0
74,1,38,120,-1,8,5.0,1.0,1.0
75,0,-38,-120,1,-8,-5.0,0.0,0.0
76,1,18,-131,-2,-2,-3.5,1.0,1.0
77,0,-18,131,2,2,3.5,0.0,0.0
78,1,-11,-58,-2,-4,-3.0,1.0,0.5
79,0,11,58,2,4,3.0,0.0,0.5
80,1,-3,-138,-1,9,6.5,0.0,1.0
81,0,3,138,1,-9,-6.5,1.0,0.0
82,1,3,-84,0,4,-3.0,1.0,0.0
83,0,-3,84,0,-4,3.0,0.0,1.0
84,1,10,91,1,-4,-3.0,1.0,0.5
85,0,-10,-91,-1,4,3.0,0.0,0.5
86,1,1,436,0,-9,-3.0,0.0,0.0
87,0,-1,-436,0,9,3.0,1.0,1.0
88,1,-28,-307,-1,16,4.0,0.0,0.0
89,0,28,307,1,-16,-4.0,1.0,1.0
90,1,43,207,2,-13,-3.0,0.0,0.0
91,0,-43,-207,-2,13,3.0,1.0,1.0
92,1,-28,-161,7,3,-3.0,0.0,0.0
93,0,28,161,-7,-3,3.0,1.0,1.0
94,1,-49,-156,2,4,-4.0,0.0,0.0
95,0,49,156,-2,-4,4.0,1.0,1.0
96,1,-26,-299,0,22,4.0,1.0,1.0
97,0,26,299,0,-22,-4.0,0.0,0.0
98,1,-27,-404,-1,8,3.0,1.0,1.0
99,0,27,404,1,-8,-3.0,0.0,0.0
100,1,87,268,-10,-27,-13.0,1.0,1.0
101,0,-87,-268,10,27,13.0,0.0,0.0
102,1,-58,-5,5,15,2.0,1.0,1.0
103,0,58,5,-5,-15,-2.0,0.0,0.0
104,1,8,310,-6,7,2.0,1.0,1.0
105,0,-8,-310,6,-7,-2.0,0.0,0.0
106,1,-17,-76,2,19,1.0,0.0,0.0
107,0,17,76,-2,-19,-1.0,1.0,1.0
108,1,-7,144,3,7,-3.0,0.0,0.0
109,0,7,-144,-3,-7,3.0,1.0,1.0
110,1,-31,-252,1,8,1.0,0.0,0.0
111,0,31,252,-1,-8,-1.0,1.0,1.0
112,1,-16,20,3,-7,-3.0,0.0,0.0
113,0,16,-20,-3,7,3.0,1.0,1.0
114,1,44,-78,-5,-6,-10.0,1.0,1.0
115,0,-44,78,5,6,10.0,0.0,0.0
116,1,-74,-283,4,18,5.0,1.0,1.0
117,0,74,283,-4,-18,-5.0,0.0,0.0
118,1,4,-127,-1,-19,-12.0,0.0,0.0
119,0,-4,127,1,19,12.0,1.0,1.0
120,1,-49,-203,3,7,2.0,1.0,1.0
121,0,49,203,-3,-7,-2.0,0.0,0.0
122,1,-81,-731,2,17,7.5,0.0,0.0
123,0,81,731,-2,-17,-7.5,1.0,1.0
124,1,-22,-101,1,13,2.0,0.0,0.0
125,0,22,101,-1,-13,-2.0,1.0,1.0
126,1,55,143,-6,-14,-5.5,1.0,0.0
127,0,-55,-143,6,14,5.5,0.0,1.0
128,1,19,322,1,-8,-4.0,1.0,1.0
129,0,-19,-322,-1,8,4.0,0.0,0.0
130,1,30,278,2,1,-5.0,1.0,1.0
131,0,-30,-278,-2,-1,5.0,0.0,0.0
132,1,11,47,1,1,-4.0,1.0,1.0
133,0,-11,-47,-1,-1,4.0,0.0,0.0
134,1,109,1143,-4,-24,-15.5,1.0,1.0
135,0,-109,-1143,4,24,15.5,0.0,0.0
136,1,-68,-471,2,17,3.5,0.0,1.0
137,0,68,471,-2,-17,-3.5,1.0,0.0
138,1,-60,-74,7,15,-4.0,0.0,0.0
139,0,60,74,-7,-15,4.0,1.0,1.0
140,1,42,160,-3,-21,-7.5,1.0,0.0
141,0,-42,-160,3,21,7.5,0.0,1.0
142,1,20,266,-3,-7,-9.0,1.0,1.0
143,0,-20,-266,3,7,9.0,0.0,0.0
144,1,11,591,0,-6,1.0,0.0,0.0
145,0,-11,-591,0,6,-1.0,1.0,1.0
146,1,-26,-730,-3,8,3.0,0.0,1.0
147,0,26,730,3,-8,-3.0,1.0,0.0
148,1,74,320,-10,-16,-3.0,0.0,0.0
149,0,-74,-320,10,16,3.0,1.0,1.0
150,1,-131,-1383,7,27,11.0,0.0,1.0
151,0,131,1383,-7,-27,-11.0,1.0,0.0
152,1,3,62,-1,2,2.0,1.0,1.0
153,0,-3,-62,1,-2,-2.0,0.0,0.0
154,1,-36,-394,4,-12,-4.0,0.0,0.0
155,0,36,394,-4,12,4.0,1.0,1.0
156,1,58,702,-2,-22,-9.0,1.0,1.0
157,0,-58,-702,2,22,9.0,0.0,0.0
158,1,-3,-119,2,-3,-3.0,1.0,0.5
159,0,3,119,-2,3,3.0,0.0,0.5
160,1,-53,-578,3,6,4.5,0.0,0.0
161,0,53,578,-3,-6,-4.5,1.0,1.0
162,1,-7,-182,-5,4,-2.5,1.0,1.0
163,0,7,182,5,-4,2.5,0.0,0.0
164,1,5,43,-4,-10,-7.0,1.0,1.0
165,0,-5,-43,4,10,7.0,0.0,0.0
166,1,18,-244,0,-8,-4.0,1.0,1.0
167,0,-18,244,0,8,4.0,0.0,0.0
168,1,9,348,0,-4,-6.0,0.0,0.0
169,0,-9,-348,0,4,6.0,1.0,1.0
170,1,2,-25,-2,-8,-9.5,1.0,1.0
171,0,-2,25,2,8,9.5,0.0,0.0
172,1,-37,-161,5,2,5.0,0.0,0.0
173,0,37,161,-5,-2,-5.0,1.0,1.0
174,1,81,-13,-13,-20,-6.0,0.0,0.0
175,0,-81,13,13,20,6.0,1.0,1.0
176,1,-30,-260,-3,15,5.5,0.0,0.0
177,0,30,260,3,-15,-5.5,1.0,1.0
178,1,-63,-1319,-3,21,3.0,1.0,1.0
179,0,63,1319,3,-21,-3.0,0.0,0.0
180,1,40,343,-5,-7,-8.0,1.0,0.0
181,0,-40,-343,5,7,8.0,0.0,1.0
182,1,-192,-1208,13,31,15.5,0.0,0.0
183,0,192,1208,-13,-31,-15.5,1.0,1.0
184,1,-25,-31,-2,8,-2.0,0.0,0.0
185,0,25,31,2,-8,2.0,1.0,1.0
186,1,-59,-98,6,7,-2.5,1.0,1.0
187,0,59,98,-6,-7,2.5,0.0,0.0
188,1,59,971,2,-15,-9.5,1.0,1.0
189,0,-59,-971,-2,15,9.5,0.0,0.0
190,1,-5,238,12,-3,-7.5,1.0,0.0
191,0,5,-238,-12,3,7.5,0.0,1.0
192,1,19,440,0,-3,-6.0,1.0,1.0
193,0,-19,-440,0,3,6.0,0.0,0.0
194,1,1,-40,4,9,-1.0,0.0,0.0
195,0,-1,40,-4,-9,1.0,1.0,1.0
196,1,49,741,-8,-6,-5.0,0.0,0.0
197,0,-49,-741,8,6,5.0,1.0,1.0
198,1,48,634,3,-18,-9.5,1.0,1.0
199,0,-48,-634,-3,18,9.5,0.0,0.0
200,1,88,290,-11,-17,-7.5,1.0,1.0
201,0,-88,-290,11,17,7.5,0.0,0.0
202,1,-146,-421,9,18,4.0,1.0,1.0
203,0,146,421,-9,-18,-4.0,0.0,0.0
204,1,-34,-371,4,3,3.0,0.0,0.0
205,0,34,371,-4,-3,-3.0,1.0,1.0
206,1,-97,-42,8,12,3.0,0.0,0.0
207,0,97,42,-8,-12,-3.0,1.0,1.0
208,1,-105,-714,4,17,4.0,0.0,0.0
209,0,105,714,-4,-17,-4.0,1.0,1.0
210,1,38,364,-5,-19,-7.0,1.0,0.0
211,0,-38,-364,5,19,7.0,0.0,1.0
212,1,-85,-864,4,10,6.5,0.0,0.0
213,0,85,864,-4,-10,-6.5,1.0,1.0
214,1,-113,-534,7,28,10.0,0.0,1.0
215,0,113,534,-7,-28,-10.0,1.0,0.0
216,1,-14,-508,-5,4,1.0,0.0,0.0
217,0,14,508,5,-4,-1.0,1.0,1.0
218,1,3,-46,9,7,-6.0,0.0,0.0
219,0,-3,46,-9,-7,6.0,1.0,1.0
220,1,-6,-52,-3,9,-3.0,0.0,0.0
221,0,6,52,3,-9,3.0,1.0,1.0
222,1,-8,416,8,5,-3.0,0.0,0.0
223,0,8,-416,-8,-5,3.0,1.0,1.0
224,1,23,76,-8,-12,-10.0,1.0,1.0
225,0,-23,-76,8,12,10.0,0.0,0.0
226,1,-6,-523,-5,4,1.5,0.0,0.0
227,0,6,523,5,-4,-1.5,1.0,1.0
228,1,125,940,-6,-9,-14.5,1.0,1.0
229,0,-125,-940,6,9,14.5,0.0,0.0
230,1,-93,12,4,12,-3.0,0.0,0.0
231,0,93,-12,-4,-12,3.0,1.0,1.0
232,1,-52,-276,-1,7,-2.0,0.0,0.0
233,0,52,276,1,-7,2.0,1.0,1.0
234,1,23,-23,-8,-4,-3.5,1.0,1.0
235,0,-23,23,8,4,3.5,0.0,0.0
236,1,20,511,-9,1,-3.5,1.0,1.0
237,0,-20,-511,9,-1,3.5,0.0,0.0
238,1,42,-241,-10,-6,-3.0,1.0,1.0
239,0,-42,241,10,6,3.0,0.0,0.0
240,1,-51,88,13,11,-3.0,1.0,1.0
241,0,51,-88,-13,-11,3.0,0.0,0.0
242,1,-4,-775,-8,-3,1.0,1.0,1.0
243,0,4,775,8,3,-1.0,0.0,0.0
244,1,39,363,0,-9,-5.5,1.0,1.0
245,0,-39,-363,0,9,5.5,0.0,0.0
246,1,-55,-621,4,15,3.5,0.0,1.0
247,0,55,621,-4,-15,-3.5,1.0,0.0
248,1,-49,-322,2,19,7.0,1.0,1.0
249,0,49,322,-2,-19,-7.0,0.0,0.0
250,1,-38,-409,10,1,-1.5,1.0,1.0
251,0,38,409,-10,-1,1.5,0.0,0.0
252,1,12,-268,-4,3,-3.0,0.0,0.0
253,0,-12,268,4,-3,3.0,1.0,1.0
254,1,-82,-485,0,1,5.0,0.0,1.0
255,0,82,485,0,-1,-5.0,1.0,0.0
256,1,-47,-367,0,17,3.0,0.0,0.0
257,0,47,367,0,-17,-3.0,1.0,1.0
258,1,88,319,-1,-8,-9.5,1.0,1.0
259,0,-88,-319,1,8,9.5,0.0,0.0
260,1,79,-217,-10,-10,-2.0,0.0,0.0
261,0,-79,217,10,10,2.0,1.0,1.0
262,1,107,490,-6,-20,-10.0,0.0,0.0
263,0,-107,-490,6,20,10.0,1.0,1.0
264,1,40,480,5,-18,-6.0,1.0,1.0
265,0,-40,-480,-5,18,6.0,0.0,0.0
266,1,130,1288,-8,-5,-9.5,1.0,0.0
267,0,-130,-1288,8,5,9.5,0.0,1.0
268,1,-52,550,15,14,2.5,0.0,0.0
269,0,52,-550,-15,-14,-2.5,1.0,1.0
270,1,30,87,3,-9,-4.0,0.0,0.0
271,0,-30,-87,-3,9,4.0,1.0,1.0
272,1,-9,-261,0,-10,-2.0,0.0,0.0
273,0,9,261,0,10,2.0,1.0,1.0
274,1,37,401,1,-3,-3.0,0.0,0.0
275,0,-37,-401,-1,3,3.0,1.0,1.0
276,1,20,576,0,-9,-3.0,0.0,0.0
277,0,-20,-576,0,9,3.0,1.0,1.0
278,1,12,299,-2,3,3.5,0.0,0.0
279,0,-12,-299,2,-3,-3.5,1.0,1.0
280,1,-32,237,17,13,-2.0,1.0,1.0
281,0,32,-237,-17,-13,2.0,0.0,0.0
282,1,-49,-558,2,3,1.5,0.0,0.0
283,0,49,558,-2,-3,-1.5,1.0,1.0
284,1,-93,-1237,3,12,3.0,1.0,1.0
285,0,93,1237,-3,-12,-3.0,0.0,0.0
286,1,108,926,-13,-13,-9.0,1.0,1.0
287,0,-108,-926,13,13,9.0,0.0,0.0
288,1,-31,779,5,13,2.0,0.0,0.0
289,0,31,-779,-5,-13,-2.0,1.0,1.0
290,1,117,902,2,-19,-10.0,1.0,1.0
291,0,-117,-902,-2,19,10.0,0.0,0.0
292,1,-2,153,-1,6,-1.0,1.0,1.0
293,0,2,-153,1,-6,1.0,0.0,0.0
294,1,154,1405,-9,-17,-14.5,1.0,0.0
295,0,-154,-1405,9,17,14.5,0.0,1.0
296,1,90,438,-6,-15,-9.5,1.0,1.0
297,0,-90,-438,6,15,9.5,0.0,0.0
298,1,-25,-446,-13,6,-3.0,0.0,0.0
299,0,25,446,13,-6,3.0,1.0,1.0
300,1,-8,368,7,-3,-3.0,1.0,1.0
301,0,8,-368,-7,3,3.0,0.0,0.0
302,1,-25,-513,-7,3,2.5,0.0,0.0
303,0,25,513,7,-3,-2.5,1.0,1.0
304,1,-67,-638,-6,14,3.0,0.0,0.0
305,0,67,638,6,-14,-3.0,1.0,1.0
306,1,14,-29,-16,-2,-4.5,1.0,1.0
307,0,-14,29,16,2,4.5,0.0,0.0
308,1,-196,-1965,11,26,9.0,1.0,1.0
309,0,196,1965,-11,-26,-9.0,0.0,0.0
310,1,117,905,-5,-12,-11.0,1.0,0.0
311,0,-117,-905,5,12,11.0,0.0,1.0
312,1,6,-847,-4,-2,3.0,0.0,0.0
313,0,-6,847,4,2,-3.0,1.0,1.0
314,1,76,633,-13,-8,-5.5,1.0,1.0
315,0,-76,-633,13,8,5.5,0.0,0.0
316,1,-231,-2203,5,14,16.0,0.0,0.0
317,0,231,2203,-5,-14,-16.0,1.0,1.0
318,1,-111,-276,4,10,0.0,1.0,1.0
319,0,111,276,-4,-10,0.0,0.0,0.0
320,1,-101,-763,0,9,3.0,0.0,0.0
321,0,101,763,0,-9,-3.0,1.0,1.0
322,1,172,1599,-9,-27,-14.5,1.0,1.0
323,0,-172,-1599,9,27,14.5,0.0,0.0
324,1,-190,-1376,2,23,14.0,0.0,0.0
325,0,190,1376,-2,-23,-14.0,1.0,1.0
326,1,2,101,-6,-9,-4.0,0.0,0.0
327,0,-2,-101,6,9,4.0,1.0,1.0
328,1,-165,-610,15,19,3.0,0.0,0.0
329,0,165,610,-15,-19,-3.0,1.0,1.0
330,1,-52,-466,-3,15,1.0,1.0,1.0
331,0,52,466,3,-15,-1.0,0.0,0.0
332,1,65,363,-7,-8,-3.0,1.0,1.0
333,0,-65,-363,7,8,3.0,0.0,0.0
334,1,51,471,0,-17,-7.0,0.0,0.0
335,0,-51,-471,0,17,7.0,1.0,1.0
336,1,4,-825,-7,-9,-3.0,1.0,1.0
337,0,-4,825,7,9,3.0,0.0,0.0
338,1,-11,-156,-11,5,3.0,0.0,0.0
339,0,11,156,11,-5,-3.0,1.0,1.0
340,1,95,818,-2,-14,-9.0,1.0,1.0
341,0,-95,-818,2,14,9.0,0.0,0.0
342,1,111,1067,-6,-15,-10.0,0.0,0.0
343,0,-111,-1067,6,15,10.0,1.0,1.0
344,1,63,-657,-18,-11,-9.0,1.0,1.0
345,0,-63,657,18,11,9.0,0.0,0.0
346,1,38,-391,4,8,-1.0,1.0,1.0
347,0,-38,391,-4,-8,1.0,0.0,0.0
348,1,235,1220,-17,-14,-24.5,1.0,0.0
349,0,-235,-1220,17,14,24.5,0.0,1.0
350,1,215,1449,-9,-25,-16.0,1.0,0.0
351,0,-215,-1449,9,25,16.0,0.0,1.0
352,1,26,272,-1,-1,-6.5,1.0,1.0
353,0,-26,-272,1,1,6.5,0.0,0.0
354,1,-24,98,15,-1,-3.0,1.0,1.0
355,0,24,-98,-15,1,3.0,0.0,0.0
356,1,-82,49,13,14,6.0,0.0,0.0
357,0,82,-49,-13,-14,-6.0,1.0,1.0
358,1,64,1482,10,-2,-6.0,0.0,0.0
359,0,-64,-1482,-10,2,6.0,1.0,1.0
360,1,-46,71,13,7,-3.0,0.0,0.0
361,0,46,-71,-13,-7,3.0,1.0,1.0
